Ano,Regiao,Uf Sigla,Municipio Primario,Nome Conflito,Data,Numero De Pessoas,Tipo De Violencia,Categoria Causou Acao,Categoria Sofreu Acao,Categoria Vitima Violencia,Eixos De Violencia,Genero,Idade,Identidade De Genero,Orientacao Sexual,Raca Cor,Municipios Vitima,Lugar
2017,Centro-Oeste,MT,Juruena (MT),Faz. Rosahmar/Rohden,01/11/2017,60,Tortura,Fazendeiro,Sem Terra,Sem Terra,Terra,S - Sem Informação,A,,,,Juruena (MT),Fazenda Rosahmar/Rohden
2017,Centro-Oeste,MT,Juruena (MT),Faz. Rosahmar/Rohden,01/11/2017,51,Prisão,Fazendeiro,Sem Terra,Sem Terra,Terra,M - Masculino,A,,,,Juruena (MT),Fazenda Rosahmar/Rohden
2017,Centro-Oeste,MT,Juruena (MT),Faz. Rosahmar/Rohden,01/11/2017,7,Prisão,Fazendeiro,Sem Terra,Sem Terra,Terra,F -  Feminino,A,,,,Juruena (MT),Fazenda Rosahmar/Rohden
2017,Centro-Oeste,MT,Nova Guarita (MT),Gl. Gama/Lt. 10/Assent. Raimundo Vieira ,01/13/2017,1,Intimidação,Grileiro,Assentado,Sem Terra,Terra,M - Masculino,A,,,,Nova Guarita (MT),Assentamento Raimundo Vieira
2017,Centro-Oeste,MT,Nova Guarita (MT),Gl. Gama/Lt. 10/Assent. Raimundo Vieira ,01/13/2017,1,Intimidação,Grileiro,Assentado,Agente pastoral,Terra,M - Masculino,A,,,,Nova Guarita (MT),Assentamento Raimundo Vieira
2017,Centro-Oeste,MT,Nova Guarita (MT),Gl. Gama/Lt. 10/Assent. Raimundo Vieira ,01/13/2017,5,Intimidação,Grileiro,Assentado,Assentado,Terra,M - Masculino,A,,,,Nova Guarita (MT),Assentamento Raimundo Vieira
2017,Centro-Oeste,MT,Nova Guarita (MT),Gl. Gama/Lt. 10/Assent. Raimundo Vieira ,01/13/2017,1,Intimidação,Grileiro,Assentado,Agente pastoral,Terra,M - Masculino,A,,,,Nova Guarita (MT),Assentamento Raimundo Vieira
2017,Centro-Oeste,MT,Nova Guarita (MT),Gl. Gama/Lt. 10/Assent. Raimundo Vieira ,04/17/2017,1,Agressão,Grileiro,Assentado,Sem Terra,Terra,M - Masculino,A,,,,Nova Guarita (MT),Assent. Raimundo Vieira
2017,Nordeste,AL,Palmeira dos Índios (AL),T. I.  Xucuru-Kariri,03/08/2017,1,Assassinato,Sem Informação,Indígenas,Indígenas,Terra,M - Masculino,28,,,Indígena,Palmeira dos Índios (AL),T.I. Xukuro-Kariri/Aldeia Coité
2017,Nordeste,BA,Correntina (BA),Comunidade Catolés ,03/15/2017,1,Ameaça de Morte,,,Camponês de fundo e fecho de pasto,Não definido,M - Masculino,A,,,,Correntina (BA),Com. de Brejo Verde 
2017,Nordeste,BA,Correntina (BA),Comunidade Catolés ,03/15/2017,1,Ameaça de Morte,,,Camponês de fundo e fecho de pasto,Não definido,M - Masculino,A,,,,Correntina (BA),Com. de Brejo Verde
