Ano,Regiao,Uf Sigla,Municipio Primario,Nome Conflito,Categoria Causou Acao,Categoria Sofreu Acao,Situacao Conflito Agua,Tipo Conflito Agua,Tipo De Violencia
2018,Nordeste,SE,Estância (SE), Com. Praia do Abaís/Vazamento de Óleo,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Estância (SE),Com. Praia do Saco/Vazamento de Óleo,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Estância (SE),Pov. Manoel Dias ,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Estância (SE),Pov. Miranga/Miranguinha ,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Estância (SE),Povoado Farnaval ,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Estância (SE),Povoado Gravatá,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Estância (SE),Povoado Massadiço,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Estância (SE),Povoado Muculanduba,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Estância (SE),Povoado Ouricuri,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Estância (SE),Povoado Tibúrcio ,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Estância (SE),Pov. Porto do Mato,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Indiaroba (SE),Com. Pontal da Barra,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Indiaroba (SE),P. A. Sete Brejos,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Indiaroba (SE),Povoado Cajueirinho,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Indiaroba (SE),Povoado Preguiça,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Indiaroba (SE),Povoado Ribuleirinhas,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Indiaroba (SE),Povoado Santa Terezinha,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Indiaroba (SE),Pov. Terra Caída,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Itaporanga d'Ajuda (SE),Ilha Mem de Sá ,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Itaporanga d'Ajuda (SE),Pov. Água Boa,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Itaporanga d'Ajuda (SE),Pov. Caueiras/Vazamento de Óleo,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Itaporanga d'Ajuda (SE),Pov. Nova Descoberta ,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Itaporanga d'Ajuda (SE),Povoado Costa do Pau D'arco,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Pacatuba (SE),Povoado Junça,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Pacatuba (SE),Povoado Tigre,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Pacatuba (SE),Pov. Pontas dos Mangues,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Pacatuba (SE),Pov. Santana dos Frades,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Pirambu (SE),Com. Quilombola Aningas,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Pirambu (SE),Comunidade Aguilhadas,Empresário,Pescador,Destruição e ou poluição,Barragens e Açudes,
2018,Nordeste,SE,Pirambu (SE),Comunidade Bebedouro,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Pirambu (SE),Pov. Água Boa,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Pirambu (SE),Pov. Lagoa Redonda,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Pirambu (SE),Pov. Santa Isabel,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Santa Luzia do Itanhy (SE),Com. Quilombola Luzienses/Pov. Rua da Palha,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Santa Luzia do Itanhy (SE),Povoado Cajazeiras ,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Santa Luzia do Itanhy (SE),Povoado Crasto,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Santa Luzia do Itanhy (SE),Povoado Pedra Furada,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,Santa Luzia do Itanhy (SE),Povoado Taboa,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,São Cristóvão (SE),Pov. Ilha Grande,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,São Cristóvão (SE),Povoado Apicum,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,Danos
2018,Nordeste,SE,São Cristóvão (SE),Povoado Arame I,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,São Cristóvão (SE),Povoado Caípe Velho,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,São Cristóvão (SE),Povoado Pedreiras ,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,SE,São Cristóvão (SE),Pov. Rita Cacete,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Norte,AP,Ferreira Gomes (AP),UHE Ferreira Gomes,Hidrelétrica,Ribeirinho,Não cumprimento de procedimentos legais,Barragens e Açudes,
2018,Norte,AP,Porto Grande (AP),UHE Cachoeira Caldeirão,Hidrelétrica,Pescador,Não cumprimento de procedimentos legais,Barragens e Açudes,
